id,input_text,generated_fopl,status,timestamp
1,A vacation is relaxing if it includes beautiful scenery and enjoyable activities.,∀x ((BeautifulScenery(y) ∧ EnjoyableActivities(y)) → Relaxing(x)),success,2025-12-15T12:39:00.654921+00:00
2,"A gemstone can be a diamond, a ruby, or an emerald, but not more than one type of gemstone.",(∀x (Gemstone(x) → (Diamond(x) ∨ (Ruby(x) ∨ Emerald(x)))) ∧ (Gemstone(x) ∧ ¬((Diamond(x) ∧ Ruby(x)) ∨ (Diamond(x) ∧ Emerald(x))))),success,2025-12-15T12:39:07.398595+00:00
3,People who speak more than one language are bilingual or multilingual.,,no_formula,2025-12-15T12:39:13.353083+00:00
4,"An organization is non-profit if it has a charitable mission, does not distribute profits to owners, and primarily relies on donations.",∀x (((CharitableMission(x) ∧ ¬DistributesProfits(x)) ∧ ReliesOnDonations(x)) → NonProfit(x)),success,2025-12-15T12:39:18.774618+00:00
5,"A flower is characterized as a monocot if it has a single cotyledon, parallel-veined leaves, and flower parts in multiples of three.",∀x (Flower(x) → ((SingleCotyledon(x) ∧ ParallelVeinedLeaves(x)) ∧ FlowerPartsInMultiplesOfThree(x))),success,2025-12-15T12:39:23.893345+00:00
6,"A fabric that is lightweight, breathable, and absorbs moisture is suitable for athletic wear.",(((Lightweight(x) ∧ Breathable(x)) ∧ AbsorbsMoisture(x)) → SuitableForAthleticWear(x)),success,2025-12-15T12:39:28.502155+00:00
7,"A place is considered a library if it houses a collection of books, periodicals, and other media for public use and study.","∀x (Library(x) → (((Books(y) ∧ Periodicals(y)) ∧ OtherMedia(y)) ∧ (Houses(x,y) → Collection(y))))",success,2025-12-15T12:39:34.320207+00:00
8,"Birds possess feathers, have a beak, and lay eggs, while their ability to fly is facilitated by their lightweight bones and specialized muscles.",∀x (((((PossessFeathers(x) ∧ HaveBeak(x)) ∧ LayEggs(x)) ∧ CanFly(x)) ∧ FacilitatedByLightweightBones(x)) ∧ FacilitatedBySpecializedMuscles(x)),success,2025-12-15T12:39:39.758536+00:00
9,A child plays with a toy in a playground.,"∃x (((Child(x) ∧ Toy(y)) ∧ Playground(z)) ∧ (PlaysWith(x,y) ∧ In(x,z)))",success,2025-12-15T12:39:44.056191+00:00
10,A person is considered a physicist if they study the nature and properties of matter and energy.,"∀x ((Person(x) → Physicist(x)) ∧ Studies(x,NatureAndPropertiesOfMatterAndEnergy))",success,2025-12-15T12:39:47.850795+00:00
11,A well-insulated building conserves energy by maintaining a stable temperature.,((WellInsulatedBuilding(x) → ConservesEnergy(x)) ∧ (WellInsulatedBuilding(x) → MaintainsStableTemperature(x))),success,2025-12-15T12:39:51.226598+00:00
12,"To be eligible for a promotion, an employee must have worked at the company for at least two years and have a good performance record, unless they have a recommendation from a supervisor.","∀e ((HasRecommendation(e,r) ∨ (WorkedAtLeastTwoYears(e) ∧ GoodPerformance(e))) → EligibleForPromotion(e))",success,2025-12-15T12:39:58.179974+00:00
13,Not all flowers bloom in spring.,∃x ¬(Flower(x) → ¬BloomsInSpring(x)),success,2025-12-15T12:40:01.060503+00:00
14,A movie is classified as a romantic comedy if it has elements of both romance and comedy.,"∀m ((HasElement(m,r) ∧ HasElement(m,c)) → Movie(m))",success,2025-12-15T12:40:06.380456+00:00
15,"Chefs prepare meals, waiters serve meals, and customers enjoy meals at a restaurant.","((((Chef(x) ∧ Restaurant(x)) ∧ (Waiter(y) ∧ Restaurant(x))) ∧ (Customer(z) ∧ Restaurant(x))) ∧ ((Prepares(x,m) ∧ Serves(y,m)) ∧ Enjoys(z,m)))",success,2025-12-15T12:40:15.403997+00:00
2,"A gemstone can be a diamond, a ruby, or an emerald, but not more than one type of gemstone.",∀x ((Diamond(x) ∨ (Ruby(x) ∨ Emerald(x))) → ¬((Diamond(x) ∧ Ruby(x)) ∧ Emerald(x))),success,2025-12-15T14:06:39.036823+00:00
3,People who speak more than one language are bilingual or multilingual.,"∀x (Speaks(x,MoreThanOneLanguage) → (Bilingual(x) ∨ Multilingual(x)))",success,2025-12-15T14:06:43.435734+00:00
4,"An organization is non-profit if it has a charitable mission, does not distribute profits to owners, and primarily relies on donations.",∀x (((CharitableMission(x) ∧ ¬DistributesProfits(x)) ∧ ReliesOnDonations(x)) → NonProfit(x)),success,2025-12-15T14:06:47.734923+00:00
2,"A gemstone can be a diamond, a ruby, or an emerald, but not more than one type of gemstone.",∀x ((Diamond(x) ∨ (Ruby(x) ∨ Emerald(x))) → ¬((Diamond(x) ∧ Ruby(x)) ∧ Emerald(x))),success,2025-12-15T14:07:34.539771+00:00
3,People who speak more than one language are bilingual or multilingual.,"∀x (GreaterThan(y,OneLanguage) → (Bilingual(x) ∨ Multilingual(x)))",success,2025-12-15T14:07:39.039042+00:00
4,"An organization is non-profit if it has a charitable mission, does not distribute profits to owners, and primarily relies on donations.",∀x (((CharitableMission(x) ∧ ¬DistributesProfits(x)) ∧ ReliesOnDonations(x)) → NonProfit(x)),success,2025-12-15T14:07:44.056601+00:00
